PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Actual,Pred_Baseline (prior),Pred_Logistic Regression,Pred_Decision Tree,Pred_Random Forest,Pred_Hist Gradient Boosting
355.9,104.8,65.6,115.2,85.1,31.0,0.67,72.1,169.1,Poor,Very Poor,Poor,Moderate,Poor,Moderate
154.2,560.1,146.2,19.3,136.3,3.7,9.5,87.5,66.1,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
197.2,240.3,32.7,144.8,146.1,48.7,8.61,48.6,192.9,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
5.4,303.4,95.8,74.0,10.1,19.8,9.95,74.3,160.2,Poor,Very Poor,Poor,Poor,Poor,Poor
331.9,16.8,164.3,118.1,48.5,48.0,2.06,30.2,20.4,Severe,Very Poor,Moderate,Severe,Severe,Severe
77.7,223.8,153.0,57.9,56.8,36.5,5.96,15.4,59.1,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
72.7,252.8,92.3,104.1,94.9,30.6,1.69,91.0,1.8,Poor,Very Poor,Very Poor,Poor,Poor,Poor
463.1,253.5,75.2,41.8,64.1,42.1,1.81,55.9,1.1,Poor,Very Poor,Satisfactory,Poor,Poor,Poor
25.5,396.5,188.9,13.8,149.1,16.8,1.55,13.3,127.0,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor
52.7,520.1,123.5,91.4,202.0,47.1,5.25,74.9,109.6,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
343.6,180.6,49.2,15.5,132.9,17.7,6.23,60.7,80.9,Severe,Very Poor,Moderate,Severe,Severe,Satisfactory
216.5,588.7,197.7,21.6,104.9,9.5,0.34,68.0,167.7,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
56.8,21.8,97.4,131.5,234.2,33.8,2.29,0.2,167.7,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
494.2,410.7,163.8,32.5,192.6,12.0,0.42,42.8,135.0,Very Poor,Very Poor,Satisfactory,Moderate,Very Poor,Moderate
384.2,389.8,41.3,114.2,119.9,10.3,0.58,95.3,68.3,Very Poor,Very Poor,Satisfactory,Severe,Very Poor,Poor
130.2,317.3,25.8,78.6,130.8,4.7,0.65,58.5,167.3,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
95.4,388.5,178.9,106.5,236.6,12.6,1.69,12.4,92.4,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor
404.1,532.9,79.8,15.5,46.6,33.9,9.74,86.5,48.4,Moderate,Very Poor,Severe,Moderate,Moderate,Moderate
228.7,76.6,142.0,18.7,179.8,40.7,4.85,55.6,104.5,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
126.8,522.5,87.3,16.9,110.0,19.6,0.75,45.7,115.6,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
295.1,41.6,121.9,129.2,50.3,22.8,3.68,29.2,34.5,Severe,Very Poor,Moderate,Severe,Severe,Severe
447.8,308.8,123.1,140.2,141.8,4.9,2.5,27.6,178.5,Poor,Very Poor,Poor,Poor,Poor,Poor
440.2,51.0,38.5,100.1,82.8,36.0,0.42,19.6,20.4,Moderate,Very Poor,Satisfactory,Moderate,Moderate,Moderate
125.5,393.1,47.6,13.1,42.3,3.5,0.68,83.2,37.3,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
192.4,436.9,120.7,23.5,183.5,37.6,8.49,59.4,76.9,Severe,Very Poor,Very Poor,Severe,Severe,Severe
118.5,267.6,36.8,73.1,148.5,32.9,9.66,1.3,171.7,Poor,Very Poor,Poor,Poor,Poor,Poor
99.0,290.1,41.5,60.9,146.7,25.0,9.49,34.4,109.7,Poor,Very Poor,Very Poor,Poor,Poor,Poor
275.0,479.6,105.0,118.9,146.2,44.7,7.8,38.0,101.3,Severe,Very Poor,Severe,Severe,Severe,Severe
81.7,398.1,21.6,125.2,232.0,27.5,0.51,63.3,160.9,Very Poor,Very Poor,Poor,Severe,Very Poor,Very Poor
441.1,338.1,2.5,119.7,201.9,2.9,3.83,59.0,135.7,Poor,Very Poor,Severe,Poor,Poor,Poor
450.4,324.9,65.8,72.3,167.3,2.3,8.02,80.3,135.8,Poor,Very Poor,Severe,Poor,Poor,Poor
293.9,67.0,18.6,54.2,238.7,9.8,4.55,19.7,76.5,Severe,Very Poor,Moderate,Severe,Severe,Severe
179.9,169.7,3.9,86.2,39.1,13.3,4.88,15.2,33.5,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
293.0,219.5,96.2,21.7,171.4,42.8,7.89,59.2,145.6,Severe,Very Poor,Poor,Severe,Severe,Severe
20.8,566.7,8.7,29.5,115.7,43.1,5.86,89.3,58.2,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
393.6,50.2,50.3,43.7,69.9,31.1,7.13,75.1,117.4,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
35.8,568.7,196.9,117.1,19.7,32.1,0.19,85.9,170.7,Poor,Very Poor,Poor,Moderate,Poor,Poor
119.1,32.4,195.5,46.1,163.0,31.2,9.03,92.9,34.6,Poor,Very Poor,Moderate,Poor,Poor,Poor
346.8,510.1,195.2,20.7,82.2,11.4,8.92,14.8,175.5,Severe,Very Poor,Severe,Severe,Severe,Very Poor
58.7,332.4,162.6,27.7,241.2,27.0,5.67,89.7,32.0,Poor,Very Poor,Very Poor,Poor,Poor,Poor
171.3,222.4,63.3,0.4,167.2,4.4,2.44,40.7,86.0,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
225.8,0.9,16.2,87.7,220.2,47.7,8.8,17.8,79.9,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Moderate
4.4,553.3,94.9,21.8,98.0,32.3,5.68,79.3,62.8,Moderate,Very Poor,Very Poor,Moderate,Moderate,Very Poor
159.9,12.8,45.5,34.3,134.9,8.7,7.59,52.1,25.2,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
386.7,74.7,194.0,37.5,64.6,32.9,3.92,31.7,44.0,Moderate,Very Poor,Moderate,Moderate,Moderate,Satisfactory
457.5,54.4,105.9,130.3,198.1,15.9,7.21,5.3,89.3,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
324.6,347.9,190.0,40.6,209.8,49.3,4.98,38.8,148.0,Severe,Very Poor,Poor,Severe,Severe,Severe
159.8,502.4,112.5,114.8,61.2,43.2,5.93,3.8,140.5,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
385.4,293.6,14.9,35.9,97.0,11.8,7.85,65.4,83.0,Poor,Very Poor,Moderate,Poor,Poor,Poor
434.2,324.0,3.1,101.0,28.2,24.7,5.29,11.8,114.9,Poor,Very Poor,Severe,Poor,Poor,Poor
63.1,477.2,29.1,23.1,148.1,30.3,1.73,70.6,176.4,Severe,Very Poor,Poor,Poor,Severe,Very Poor
115.0,544.2,114.3,40.8,14.1,35.0,9.65,66.9,130.7,Poor,Very Poor,Very Poor,Poor,Poor,Poor
313.1,560.5,106.3,125.0,21.9,31.0,2.97,2.5,179.6,Severe,Very Poor,Severe,Severe,Severe,Severe
45.2,369.8,195.0,28.7,137.8,9.6,9.95,77.2,2.1,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
122.2,97.8,140.8,106.0,234.2,6.6,2.59,73.6,109.3,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
125.7,270.7,52.7,80.2,164.4,29.3,7.4,49.3,148.0,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
431.4,522.6,157.2,112.8,100.7,13.1,1.5,54.5,98.9,Moderate,Very Poor,Severe,Moderate,Moderate,Moderate
331.6,464.5,197.5,47.4,226.3,10.0,0.17,30.8,180.7,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
436.2,265.4,16.7,120.6,245.5,8.3,8.91,7.8,49.0,Poor,Very Poor,Moderate,Poor,Poor,Poor
255.9,120.7,84.1,8.1,237.0,23.3,9.63,45.4,133.4,Severe,Very Poor,Poor,Severe,Severe,Very Poor
149.4,211.7,30.1,59.2,23.2,13.8,7.93,54.5,135.8,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
203.3,7.6,152.7,110.4,15.6,28.3,8.0,94.8,161.5,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
113.9,530.7,17.4,50.3,128.9,24.6,1.05,95.3,9.2,Poor,Very Poor,Satisfactory,Poor,Poor,Poor
172.0,566.2,175.9,120.0,52.8,48.5,8.81,62.1,118.4,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
325.3,151.2,145.9,97.6,119.5,6.9,1.76,0.6,12.7,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
449.3,145.1,142.7,3.5,135.2,41.6,0.08,52.2,63.1,Moderate,Very Poor,Good,Moderate,Moderate,Moderate
199.0,447.9,95.5,73.3,221.8,34.4,2.17,48.9,142.6,Severe,Very Poor,Poor,Severe,Severe,Severe
270.3,594.8,122.5,92.7,23.6,29.5,9.02,8.1,97.0,Severe,Very Poor,Severe,Severe,Severe,Severe
338.3,53.5,8.3,116.8,55.2,10.8,5.73,54.6,131.6,Severe,Very Poor,Moderate,Severe,Severe,Severe
201.2,414.2,40.1,120.9,133.6,11.2,9.92,77.1,98.8,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
230.3,208.1,118.3,128.2,144.5,5.7,4.83,57.5,161.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
445.7,242.0,5.4,65.8,154.0,22.4,0.96,74.0,81.6,Moderate,Very Poor,Satisfactory,Moderate,Moderate,Very Poor
327.0,204.5,85.5,6.5,88.6,31.7,8.92,61.3,57.6,Severe,Very Poor,Moderate,Severe,Severe,Severe
302.4,256.0,177.7,24.6,151.5,5.6,4.93,54.1,17.3,Severe,Very Poor,Moderate,Severe,Severe,Severe
331.4,463.0,173.2,11.2,55.8,35.4,2.85,72.4,152.5,Severe,Very Poor,Severe,Severe,Severe,Moderate
120.3,256.2,104.0,44.9,249.4,33.9,8.73,98.5,37.6,Poor,Very Poor,Very Poor,Poor,Poor,Poor
58.6,540.4,199.5,37.3,133.2,7.3,4.01,49.1,150.3,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
408.0,259.0,11.0,92.9,164.3,26.7,1.59,27.9,15.7,Poor,Very Poor,Satisfactory,Poor,Poor,Poor
233.2,11.5,44.6,67.2,63.2,40.7,9.66,47.0,16.6,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
268.3,499.1,124.8,42.1,74.6,21.0,2.85,90.1,55.3,Severe,Very Poor,Severe,Severe,Severe,Severe
257.4,63.2,105.7,18.7,41.2,14.0,4.62,47.7,177.2,Severe,Very Poor,Poor,Severe,Severe,Severe
101.3,80.8,193.2,141.8,189.4,21.6,6.45,48.8,12.1,Poor,Very Poor,Moderate,Poor,Poor,Poor
242.2,452.4,89.6,16.1,204.7,0.5,5.88,48.1,168.3,Severe,Very Poor,Poor,Severe,Severe,Very Poor
378.0,184.9,24.6,42.5,85.3,17.5,7.48,24.2,37.6,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
14.6,1.7,37.9,1.2,2.6,5.7,3.87,80.8,30.8,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
239.1,309.1,82.8,44.3,191.7,31.0,2.94,9.3,111.1,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
238.1,390.7,94.8,20.1,101.5,31.5,4.22,43.4,71.9,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
338.1,142.0,52.9,144.3,110.5,27.4,4.01,32.9,159.3,Severe,Very Poor,Poor,Severe,Severe,Severe
350.5,229.1,54.2,119.1,57.4,11.2,3.81,19.9,67.6,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
249.9,510.4,178.5,0.8,123.8,4.4,5.43,51.0,194.1,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Severe
145.2,183.3,195.5,6.1,46.8,34.6,2.12,93.7,163.7,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
419.7,262.1,102.4,2.7,107.5,3.1,9.82,34.7,157.9,Poor,Very Poor,Poor,Poor,Poor,Poor
449.2,234.8,186.7,35.6,227.8,16.5,0.66,80.9,77.0,Moderate,Very Poor,Satisfactory,Satisfactory,Moderate,Very Poor
58.0,279.7,124.6,67.2,179.8,12.1,0.82,26.5,88.4,Poor,Very Poor,Satisfactory,Satisfactory,Poor,Poor
15.1,115.1,1.4,12.8,232.0,44.7,2.48,79.7,187.2,Poor,Very Poor,Poor,Poor,Poor,Moderate
148.0,571.2,1.3,10.4,1.2,23.4,4.86,18.7,27.1,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
254.2,5.7,139.7,140.9,101.6,12.1,1.7,35.9,153.6,Severe,Very Poor,Poor,Severe,Severe,Severe
287.5,299.2,20.0,62.1,165.4,31.1,7.43,86.1,80.1,Severe,Very Poor,Moderate,Severe,Severe,Severe
180.9,85.8,146.8,117.2,42.7,0.4,9.08,35.4,91.1,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
270.0,597.6,168.9,48.4,95.1,10.9,8.43,34.9,67.9,Severe,Very Poor,Severe,Severe,Severe,Satisfactory
215.8,263.0,142.6,99.4,165.3,36.8,0.99,47.9,19.6,Very Poor,Very Poor,Satisfactory,Very Poor,Very Poor,Very Poor
417.1,34.1,66.0,123.5,238.1,13.0,9.04,68.9,107.2,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
371.6,178.7,196.3,77.3,173.0,48.3,3.82,85.6,79.3,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
464.9,187.6,38.5,72.7,137.8,16.4,4.22,64.9,34.7,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
199.2,122.7,97.6,139.5,193.6,19.6,4.45,76.0,1.7,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Satisfactory
3.4,183.1,129.5,76.4,89.9,33.9,0.78,42.9,138.7,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
236.6,93.7,180.5,95.1,8.6,4.6,7.8,3.0,141.8,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
34.6,145.4,128.5,17.7,191.2,47.9,5.56,64.6,60.0,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
73.3,306.6,124.4,43.7,159.1,31.9,5.43,49.4,50.1,Poor,Very Poor,Very Poor,Poor,Poor,Poor
188.8,308.6,55.0,35.3,18.4,8.9,7.36,11.6,187.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
125.7,86.2,73.4,129.3,14.6,46.5,0.6,88.4,148.3,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
437.9,594.4,195.5,108.2,6.3,15.2,1.16,91.9,169.4,Poor,Very Poor,Severe,Moderate,Moderate,Very Poor
91.6,592.3,10.7,102.9,186.9,5.9,1.23,49.0,169.4,Poor,Very Poor,Poor,Poor,Poor,Very Poor
483.0,0.4,113.2,142.4,129.9,0.0,9.52,86.8,35.9,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
392.7,180.5,63.2,133.4,113.2,7.2,3.33,48.9,175.1,Poor,Very Poor,Poor,Poor,Poor,Poor
287.5,395.4,87.5,119.7,39.7,15.5,8.78,19.7,179.7,Severe,Very Poor,Poor,Severe,Severe,Severe
332.9,513.6,95.8,137.6,67.5,38.1,1.66,1.0,77.7,Severe,Very Poor,Severe,Severe,Severe,Severe
56.0,510.6,21.7,75.2,219.7,17.3,2.72,6.2,150.1,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
53.1,106.1,111.5,59.2,113.9,24.4,5.08,29.0,187.4,Poor,Very Poor,Poor,Poor,Poor,Poor
429.6,463.5,79.4,56.0,109.0,30.2,1.02,49.8,54.0,Severe,Very Poor,Satisfactory,Satisfactory,Severe,Severe
324.8,277.1,172.5,45.0,57.1,3.2,6.85,34.0,86.6,Severe,Very Poor,Moderate,Severe,Severe,Severe
167.7,430.3,18.7,133.0,22.5,9.2,1.82,69.3,164.6,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Severe
184.6,270.9,66.6,148.2,86.1,28.1,5.47,95.4,60.6,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
262.3,10.7,4.0,145.5,129.1,30.4,8.44,85.3,140.1,Severe,Very Poor,Moderate,Severe,Severe,Severe
324.3,317.1,80.7,23.6,174.1,7.3,8.37,64.1,168.8,Severe,Very Poor,Poor,Severe,Severe,Severe
230.7,235.7,60.9,77.6,87.5,30.9,9.57,98.3,95.9,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
269.2,306.3,35.7,14.4,18.2,3.5,0.79,81.5,107.2,Severe,Very Poor,Satisfactory,Severe,Severe,Poor
15.5,76.3,42.3,24.0,126.0,46.5,5.74,25.2,84.1,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
261.1,386.8,85.8,57.7,36.7,40.0,7.79,81.8,111.7,Severe,Very Poor,Severe,Severe,Severe,Severe
153.9,165.4,78.7,102.2,157.2,43.2,2.35,62.9,18.6,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
396.7,70.5,133.6,28.8,230.2,19.3,6.84,76.1,38.3,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
81.1,465.7,6.2,44.5,61.3,0.3,7.73,19.0,108.8,Severe,Very Poor,Very Poor,Severe,Severe,Severe
59.2,78.1,76.2,11.6,12.4,2.2,2.87,48.9,150.2,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
316.8,527.0,168.0,28.6,113.8,14.1,2.1,95.6,91.4,Severe,Very Poor,Severe,Severe,Severe,Severe
443.7,377.8,172.4,12.0,186.5,30.7,5.58,93.8,41.0,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Severe
406.5,57.4,25.3,103.9,123.1,21.5,1.39,0.2,168.2,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
173.0,428.2,24.6,116.1,114.6,28.2,2.27,54.2,166.2,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
129.5,119.6,167.6,46.4,169.1,34.4,6.95,63.5,188.7,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
475.4,122.0,151.6,33.0,171.0,27.2,4.49,66.5,78.3,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
1.1,87.9,152.3,96.8,81.5,49.8,7.53,83.9,103.7,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
442.4,276.5,54.1,83.9,155.1,27.0,9.92,83.6,39.8,Poor,Very Poor,Moderate,Poor,Poor,Poor
31.3,220.9,83.0,120.3,163.5,21.7,5.43,23.3,2.1,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
406.4,220.3,187.3,92.1,39.1,16.6,6.53,78.7,55.2,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
361.7,558.3,138.5,57.8,27.2,31.3,3.3,27.0,32.7,Moderate,Very Poor,Severe,Moderate,Moderate,Moderate
473.1,191.3,92.6,124.7,107.5,18.7,2.42,80.4,43.5,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
499.5,5.9,103.4,148.3,205.3,33.5,9.56,14.4,165.7,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
473.0,355.3,166.0,149.5,249.3,20.1,1.25,34.6,76.4,Very Poor,Very Poor,Severe,Poor,Very Poor,Severe
74.4,71.2,31.7,3.0,228.1,38.9,3.9,5.1,144.1,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
128.7,546.1,27.3,149.0,124.5,31.1,0.67,13.7,162.9,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
415.5,430.9,144.7,75.0,32.1,36.5,2.13,50.1,135.8,Moderate,Very Poor,Severe,Severe,Severe,Severe
142.4,561.5,101.4,139.7,212.8,7.8,1.97,40.7,23.9,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
309.4,33.1,150.4,57.6,243.4,7.0,7.98,11.6,32.4,Severe,Very Poor,Moderate,Severe,Severe,Severe
176.3,583.3,2.1,128.8,242.6,15.2,2.57,91.6,152.5,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
204.8,150.5,96.2,113.3,183.7,9.4,0.53,57.5,109.2,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
323.9,444.9,195.3,145.9,37.1,47.8,0.22,94.6,43.3,Severe,Very Poor,Severe,Severe,Severe,Severe
84.4,392.6,185.4,1.0,179.6,34.0,4.24,4.0,194.7,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Poor
64.3,372.7,132.2,70.0,88.4,32.4,7.0,59.6,103.7,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
11.9,290.1,30.4,43.1,191.6,49.8,8.87,10.3,79.3,Poor,Very Poor,Very Poor,Poor,Poor,Poor
229.4,362.9,117.0,74.4,59.9,2.2,3.83,64.1,66.4,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
323.4,415.5,82.1,33.9,26.6,2.6,3.61,82.1,133.0,Severe,Very Poor,Severe,Severe,Severe,Severe
182.7,482.4,187.5,49.2,89.5,36.8,3.65,98.9,7.2,Severe,Very Poor,Severe,Severe,Severe,Severe
403.9,276.4,25.0,138.5,135.6,20.5,1.73,22.7,189.6,Poor,Very Poor,Poor,Poor,Poor,Poor
274.3,23.0,124.7,9.2,176.4,11.7,1.82,68.5,139.5,Severe,Very Poor,Poor,Severe,Severe,Severe
169.1,542.8,115.3,16.7,189.6,27.6,2.45,47.4,137.9,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
169.7,2.5,47.0,144.8,19.2,10.3,7.51,26.7,6.4,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Moderate
448.7,32.3,169.2,11.1,132.6,45.5,6.21,76.2,8.7,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
323.0,379.2,181.3,35.0,208.4,5.0,7.58,42.1,104.3,Severe,Very Poor,Severe,Severe,Severe,Severe
22.2,578.9,25.5,71.6,236.1,14.3,3.86,63.5,46.7,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
203.4,568.1,183.8,112.9,161.0,1.2,8.48,52.5,86.2,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
58.8,408.7,173.9,22.8,113.7,38.7,2.85,87.1,179.2,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
154.4,408.6,52.4,143.2,61.1,26.9,4.48,63.4,3.5,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
152.9,218.0,35.2,68.3,211.8,47.4,6.76,66.6,171.4,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
257.0,475.2,18.4,108.2,192.7,11.7,8.2,63.2,113.1,Severe,Very Poor,Severe,Severe,Severe,Severe
141.5,245.4,75.4,144.9,125.6,44.0,5.9,1.5,31.7,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
295.3,555.6,119.8,144.6,7.7,6.9,8.71,85.7,74.2,Severe,Very Poor,Severe,Severe,Severe,Severe
157.0,337.3,149.0,100.6,206.0,36.2,9.88,33.1,169.7,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
71.0,72.0,84.8,98.0,84.6,32.9,0.68,47.6,112.5,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
430.3,307.0,26.0,0.4,132.4,5.6,5.51,22.4,34.4,Poor,Very Poor,Moderate,Poor,Poor,Poor
86.3,445.8,179.1,105.9,239.8,43.1,1.62,54.5,7.4,Severe,Very Poor,Very Poor,Moderate,Severe,Severe
57.2,117.2,6.9,94.7,238.7,34.3,1.89,32.2,137.8,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
264.8,50.4,73.1,96.0,45.7,38.2,4.02,73.8,92.3,Severe,Very Poor,Moderate,Severe,Severe,Severe
274.7,298.2,80.8,78.3,249.4,34.6,6.33,42.0,188.3,Severe,Very Poor,Poor,Severe,Severe,Severe
330.0,83.8,97.3,14.4,46.2,23.4,6.06,95.9,28.7,Severe,Very Poor,Moderate,Severe,Severe,Poor
71.6,140.0,171.3,100.4,77.2,17.5,2.54,60.1,43.3,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
413.6,351.8,13.8,16.6,111.5,33.4,5.71,46.0,168.2,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
366.0,213.6,5.8,54.6,128.8,20.7,0.62,7.2,109.7,Moderate,Very Poor,Satisfactory,Moderate,Moderate,Moderate
125.1,114.2,113.6,121.7,219.2,17.0,4.23,24.6,148.3,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor
25.7,87.2,111.0,19.5,46.1,35.8,9.44,91.5,129.7,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
257.1,348.3,176.0,50.8,30.9,46.2,9.4,89.6,49.7,Severe,Very Poor,Moderate,Severe,Severe,Severe
238.8,285.4,32.1,49.9,41.6,33.7,8.07,22.0,43.5,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
254.1,119.2,17.8,37.5,249.3,4.2,1.35,76.3,36.2,Severe,Very Poor,Satisfactory,Severe,Severe,Very Poor
337.1,105.4,12.6,123.7,68.2,24.4,4.52,47.7,137.7,Severe,Very Poor,Poor,Severe,Severe,Severe
364.2,448.6,68.8,9.9,122.8,1.4,3.56,18.2,18.7,Severe,Very Poor,Satisfactory,Severe,Severe,Severe
493.0,93.2,84.2,108.3,204.8,19.1,7.27,15.4,139.5,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
378.6,147.8,118.4,10.1,13.4,44.5,0.37,54.4,96.7,Moderate,Very Poor,Good,Moderate,Moderate,Moderate
421.3,39.0,193.4,16.7,10.5,0.6,9.76,56.1,91.4,Moderate,Very Poor,Moderate,Moderate,Moderate,Satisfactory
333.9,543.4,50.8,38.6,196.9,29.5,7.35,8.7,112.6,Severe,Very Poor,Severe,Severe,Severe,Severe
49.7,379.5,76.0,56.4,84.5,8.1,8.21,97.5,147.0,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
65.9,320.6,199.7,109.4,231.3,32.8,3.42,88.2,74.4,Poor,Very Poor,Very Poor,Poor,Poor,Poor
70.0,65.7,162.6,76.7,142.2,47.7,3.22,18.4,53.8,Moderate,Very Poor,Very Poor,Moderate,Moderate,Moderate
121.9,285.3,32.9,126.7,233.4,10.9,3.3,83.9,52.3,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
405.1,427.5,44.6,90.0,196.1,5.6,9.39,78.8,191.6,Very Poor,Very Poor,Severe,Very Poor,Very Poor,Very Poor
8.5,119.3,135.4,100.1,65.3,11.6,4.38,61.0,131.9,Moderate,Very Poor,Poor,Moderate,Moderate,Moderate
46.2,352.2,75.1,108.1,218.5,25.1,7.77,52.2,17.7,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor
481.1,117.7,155.9,36.3,190.7,33.6,1.28,96.8,192.8,Poor,Very Poor,Poor,Moderate,Poor,Moderate
208.8,14.4,186.2,52.9,133.9,12.6,6.51,28.1,97.8,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor
387.0,478.9,140.5,132.6,43.6,43.3,6.14,54.5,124.8,Severe,Very Poor,Severe,Severe,Severe,Severe
481.5,61.1,185.4,68.7,192.3,7.7,8.24,39.8,64.8,Moderate,Very Poor,Moderate,Moderate,Moderate,Moderate
